start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-08-05,7160850,34.8,385610,87.7,53910,58.2,18250,66.5,313460,100
2023-08-06,7112120,34.5,376180,85.6,49040,53,14160,51.6,313000,99.9
2023-08-07,6896810,33.5,374350,85.2,48750,52.6,12630,46,312980,99.8
2023-08-08,6796950,33,369980,84.2,44090,47.6,15200,55.4,309190,98.6
2023-08-09,6458620,31.4,332980,75.8,20410,22,16230,59.2,295850,94.4
2023-08-10,6363110,30.9,311320,70.8,19310,20.8,17250,62.9,274780,87.7
2023-08-11,6466560,31.4,323980,73.7,26010,28.1,20290,74,277690,88.6
2023-08-12,6654470,32.3,336990,76.7,30780,33.2,19270,70.3,286970,91.5
2023-08-13,6721900,32.6,329180,74.9,29030,31.3,22830,83.2,276830,88.3
2023-08-14,6989250,33.9,316130,71.9,28100,30.3,22320,81.4,265220,84.6
2023-08-15,7162470,34.8,295690,67.3,21120,22.8,13760,50.2,260820,83.2
2023-08-16,7096160,34.5,299740,68.2,29610,32,5630,20.5,264500,84.4
2023-08-17,6826120,33.2,261740,59.6,11900,12.9,2050,7.5,247790,79.1
2023-08-18,6683120,32.5,202090,46,0,0,0,0,202090,64.5
2023-08-19,6460700,31.4,150620,34.3,0,0,0,0,150620,48.1
2023-08-20,6665060,32.4,120450,27.4,0,0,0,0,120450,38.4
2023-08-21,6813580,33.1,128970,29.3,0,0,0,0,128970,41.1
2023-08-22,6705030,32.6,118470,27,0,0,0,0,118470,37.8
2023-08-23,6589650,32,137070,31.2,460,0.5,0,0,136610,43.6
2023-08-24,6624400,32.2,157400,35.8,450,0.5,0,0,156960,50.1
2023-08-25,6667000,32.4,182380,41.5,4060,4.4,0,0,178320,56.9
2023-08-26,6456000,31.4,180240,41,19260,20.8,510,1.8,160480,51.2
2023-08-27,6562510,31.9,194980,44.4,34510,37.3,510,1.8,159970,51
2023-08-28,6419770,31.2,198890,45.3,44520,48.1,2050,7.5,152330,48.6
2023-08-29,6178870,30,252390,57.4,52470,56.7,2560,9.3,197370,63
2023-08-30,6057130,29.4,302040,68.7,51000,55.1,3060,11.2,247990,79.1
2023-08-31,5941220,28.9,314100,71.5,41930,45.3,2050,7.5,270130,86.2
2023-09-01,5997700,29.1,275020,62.6,22980,24.8,520,1.9,251540,80.2
2023-09-02,5809240,28.2,264290,60.1,17920,19.4,1030,3.8,245340,78.3
2023-09-03,5488020,26.7,244680,55.7,9980,10.8,0,0,234700,74.9
2023-09-04,4865910,23.6,141990,32.3,4530,4.9,0,0,137470,43.9
2023-09-05,4928480,23.9,102500,23.3,460,0.5,0,0,102040,32.6
2023-09-06,5189380,25.2,109980,25,460,0.5,0,0,109520,34.9
2023-09-07,5586850,27.1,100650,22.9,910,1,0,0,99750,31.8
2023-09-08,5865070,28.5,60960,13.9,0,0,0,0,60960,19.4
2023-09-09,5863760,28.5,41500,9.4,0,0,0,0,41500,13.2
2023-09-10,5332560,25.9,33120,7.5,1380,1.5,0,0,31750,10.1
2023-09-11,4765050,23.1,62770,14.3,1840,2,0,0,60940,19.4
2023-09-12,4640800,22.5,60800,13.8,0,0,0,0,60800,19.4
2023-09-13,5089400,24.7,62470,14.2,10590,11.4,0,0,51890,16.6
2023-09-14,5427710,26.4,80010,18.2,7820,8.4,0,0,72190,23
