"STN_ID","Date","SSTP","lat","lon","source"
"C46207 E. Dellwood Knolls",1991-04-05,7.704,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-06,7.833,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-07,7.967,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-08,7.987,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-09,7.854,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-10,7.758,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-11,7.892,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-12,7.9,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-13,7.9,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-14,7.929,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-15,7.879,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-16,7.95,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-17,8.108,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-18,8.196,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-19,8.287,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-20,8.204,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-21,8.404,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-22,8.296,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-23,8.21,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-24,8.075,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-25,8.117,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-26,8.161,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-27,8.283,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-28,8.275,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-29,8.3,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-30,8.375,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-01,8.696,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-02,8.825,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-03,9.092,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-04,9.283,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-05,9.191,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-06,9.07,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-07,9.233,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-08,9.179,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-09,9.1,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-10,9.092,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-11,9.271,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-12,9.404,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-05-13,9.283,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-09-17,14.75,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-09-18,14.833,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-09-19,14.433,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-09-20,14.037,50.875,-129.917,"DFO_MEDS"
