"STN_ID","Date","SSTP","lat","lon","source"
"C46304 Entrance English Bay",2023-04-07,8.938,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-08,9.047,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-09,8.622,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-10,8.578,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-11,8.75,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-12,8.717,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-13,8.842,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-14,9.146,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-15,9.418,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-16,9.072,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-17,8.728,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-18,8.449,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-19,8.215,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-20,8.356,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-21,8.308,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-22,8.802,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-23,8.833,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-24,9.053,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-25,9.606,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-26,10.381,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-27,10.742,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-28,10.853,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-29,11.288,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-04-30,11.628,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-01,11.249,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-02,11.578,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-03,12.75,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-04,12.657,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-05,11.881,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-06,11.436,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-07,12.273,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-08,13.276,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-09,12.996,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-10,14.45,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-11,14.493,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-12,15.243,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-13,14.891,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-14,14.153,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-15,14.939,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-16,17.074,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-17,16.014,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-18,17.952,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-19,17.949,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-20,17.79,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-21,16.876,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-22,16.22,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-23,15.25,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-05-24,15.629,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-09,15.729,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-10,15.575,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-11,15.578,49.30167,-123.357,"ECCC"
